sku,nombre,marca,subcategoria,categoria_raw,precio_actual,precio_original,descuento_pct,rating,num_opiniones,seller_raw,promo_raw,product_url,url_categoria,precio_actual_raw,precio_original_raw,descuento_pct_raw,rating_raw,opiniones_raw
10893728,"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",MSI,PC,PortÃ¡tiles,1069.0,,46.0,4.6,1416.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-msi-cyborg-15-b2rwfkg-201xes-intel-core-7-240h-32gb-ddr5-1tb-ssd-rtx-5060-156-fhd-rgb,https://www.pccomponentes.com/ordenadores-gaming,1069.0,,46,4.6,1416
10991701,"PortÃ¡til Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",Lenovo,PC,PortÃ¡tiles,1139.0,,24.0,4.7,93.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-lenovo-legion-5-15ahp10-153-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-negro,https://www.pccomponentes.com/ordenadores-gaming,1139.0,,24,4.7,93
10881998,"HP OMEN 16-ap0007ns AMD Ryzen AI 7 350 32GB 1TB SSD RTX 5070 8GB 16""",HP,PC,PortÃ¡tiles,1349.0,,25.0,4.5,345.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-hp-omen-16-ap0007ns-amd-ryzen-ai-7-350-32gb-1tb-ssd-rtx-5070-8gb-16,https://www.pccomponentes.com/ordenadores-gaming,1349.0,,25,4.5,345
10969533,"PortÃ¡til MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",MSI,PC,PortÃ¡tiles,1499.0,,36.0,4.6,1416.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-msi-cyborg-17-b2rwgkg-075xes-173-intel-core-9-270h-32gb-1tb-ssd-rtx-5070-qhd-rgb,https://www.pccomponentes.com/ordenadores-gaming,1499.0,,36,4.6,1416
11034545,"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB Windows 11 Home",MSI,PC,PortÃ¡tiles,1129.0,,33.0,4.6,1416.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-msi-cyborg-15-b2rwfkg-201-intel-core-7-240h-32gb-ddr5-1tb-ssd-rtx-5060-156-fhd-rgb-windows-11-home,https://www.pccomponentes.com/ordenadores-gaming,1129.0,,33,4.6,1416
10878965,"ASUS TUF Gaming FX608JMR-RV003 Intel Core i7-14650HX/32GB/1TB SSD/RTX 5060/16""",Asus,PC,PortÃ¡tiles,1299.0,,18.0,4.6,38.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-asus-tuf-gaming-fx608jmr-rv003-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-5060-16,https://www.pccomponentes.com/ordenadores-gaming,1299.0,,18,4.6,38
10962048,"PortÃ¡til Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",Lenovo,PC,PortÃ¡tiles,1299.0,,23.0,4.7,93.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-lenovo-legion-5-15ahp10-oled-151-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-negro,https://www.pccomponentes.com/ordenadores-gaming,1299.0,,23,4.7,93
10969532,"PortÃ¡til MSI Cyborg 15 B2RWGKG-422XES 15.6"" Intel Core 7 240H 32GB 1TB SSD RTX 5070 8GB RGB",MSI,PC,PortÃ¡tiles,1249.0,,42.0,4.6,1416.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-msi-cyborg-15-b2rwgkg-422xes-156-intel-core-7-240h-32gb-1tb-ssd-rtx-5070-8gb-rgb,https://www.pccomponentes.com/ordenadores-gaming,1249.0,,42,4.6,1416
10940511,"PortÃ¡til Lenovo Legion Pro 5i 16"" Intel Core Ultra 9 275HX 32GB 1TB SSD RTX 5070 Ti OLED 240Hz Negro RGB",Lenovo,PC,PortÃ¡tiles,2249.0,,10.0,4.7,185.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-lenovo-legion-pro-5i-16-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx-5070-ti-oled-240hz-negro-rgb,https://www.pccomponentes.com/ordenadores-gaming,2249.0,,10,4.7,185
11034479,"HP Victus 15-fa2005ns 15.6"" Intel Core 7 240H 16GB 1TB SSD RTX 5060 Windows 11 Home",HP,PC,PortÃ¡tiles,1129.0,,29.0,4.5,707.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-hp-victus-15-fa2005ns-156-intel-core-7-240h-16gb-1tb-ssd-rtx-5060-windows-11-home,https://www.pccomponentes.com/ordenadores-gaming,1129.0,,29,4.5,707
