sku,nombre,marca,subcategoria,categoria_raw,precio_actual_raw,precio_original_raw,descuento_pct_raw,rating_raw,opiniones_raw,url_categoria
10878956,"ASUS TUF Gaming FA808UM-S8005 AMD Ryzen 7 260/32GB/1TB SSD/RTX 5060/18""",Asus,PC,PortÃ¡tiles,1349.99,,9,,,https://www.pccomponentes.com/ordenadores-gaming
10881997,"PortÃ¡til HP OMEN 16-ap0003ns 16"" Ryzen AI 7 350 32GB 1TB SSD RTX 5050 Negro Sombra",HP,PC,PortÃ¡tiles,1099,,26,,,https://www.pccomponentes.com/ordenadores-gaming
10880191,PcCom Ready AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 / Windows 11 Home,PcCom,PC,Sobremesa,1299,,32,,,https://www.pccomponentes.com/ordenadores-gaming
11027738,PcCom Imperial AMD Ryzen 7 5800X / 32GB / 2TB M.2 SSD / RTX 5070 / Windows 11 Home,PcCom,PC,Sobremesa,1579,,35,,,https://www.pccomponentes.com/ordenadores-gaming
11027737,PcCom Imperial AMD Ryzen 7 5800X / 32GB / 2TB M.2 SSD / RTX 5070,PcCom,PC,Sobremesa,1499,,32,,,https://www.pccomponentes.com/ordenadores-gaming
11011263,PcCom Imperial AMD Ryzen 7 5700X / 32GB / 1TB SSD / RTX 5070,PcCom,PC,Sobremesa,1449,,27,,,https://www.pccomponentes.com/ordenadores-gaming
10880192,PcCom Ready AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060,PcCom,PC,Sobremesa,1199,,29,,,https://www.pccomponentes.com/ordenadores-gaming
11011276,PcCom Imperial AMD Ryzen 7 5700X / 32GB / 1TB SSD / RTX 5070 / Windows 11 Home,PcCom,PC,Sobremesa,1529,,25,,,https://www.pccomponentes.com/ordenadores-gaming
10996367,PcCom Lite AMD Ryzen 5 8400F / 16GB / 1TB SSD / RTX 5060 8GB V2,PcCom,PC,Sobremesa,999,,27,,,https://www.pccomponentes.com/ordenadores-gaming
10880193,PcCom Ready AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Blanco / Windows 11 Home,PcCom,PC,Sobremesa,1299,,32,,,https://www.pccomponentes.com/ordenadores-gaming
10879991,PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB,PcCom,PC,Sobremesa,1389,,39,,,https://www.pccomponentes.com/ordenadores-gaming
10996371,PcCom Lite AMD Ryzen 5 8400F / 16GB / 1TB SSD / RTX 5060 8GB V2 / Windows 11 Home,PcCom,PC,Sobremesa,1099,,26,,,https://www.pccomponentes.com/ordenadores-gaming
11038126,PcCom Ready Intel Core i7-14700KF / 32GB / 2TB SSD / RTX 5060 V2 Blanco,PcCom,PC,Sobremesa,1299,,23,,,https://www.pccomponentes.com/ordenadores-gaming
11015096,PcCom Imperial AMD Ryzen 7 9800X3D / 32GB / 2TB SSD / RTX 5070 / Windows 11 Home V3,PcCom,PC,Sobremesa,2329,,40,,,https://www.pccomponentes.com/ordenadores-gaming
10879988,PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB / Windows 11 Home,PcCom,PC,Sobremesa,1489,,34,,,https://www.pccomponentes.com/ordenadores-gaming
10881828,PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB Blanco / Windows 11 Home,PcCom,PC,Sobremesa,1489,,33,,,https://www.pccomponentes.com/ordenadores-gaming
