source,product_name,brand,category,subcategory,price,price_original,discount_pct,rating,review_count,popularity,seller,promo_tag,product_url,sku,url_mal_formateada,duplicado_url,p50,p90,price_tier,q90_review_count,top_10_popularity
pccomponentes,"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",MSI,PC,PC,10490.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-msi-cyborg-15-b2rwfkg-201xes-intel-core-7-240h-32gb-ddr5-1tb-ssd-rtx-5060-156-fhd-rgb,10893728.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"PortÃ¡til Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",Lenovo,PC,PC,11390.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-lenovo-legion-5-15ahp10-153-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-negro,10991701.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"PortÃ¡til MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",MSI,PC,PC,14990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-msi-cyborg-17-b2rwgkg-075xes-173-intel-core-9-270h-32gb-1tb-ssd-rtx-5070-qhd-rgb,10969533.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"HP OMEN 16-ap0007ns AMD Ryzen AI 7 350 32GB 1TB SSD RTX 5070 8GB 16""",HP,PC,PC,13490.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-hp-omen-16-ap0007ns-amd-ryzen-ai-7-350-32gb-1tb-ssd-rtx-5070-8gb-16,10881998.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB Windows 11 Home",MSI,PC,PC,10990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-msi-cyborg-15-b2rwfkg-201-intel-core-7-240h-32gb-ddr5-1tb-ssd-rtx-5060-156-fhd-rgb-windows-11-home,11034545.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"ASUS TUF Gaming FX608JMR-RV003 Intel Core i7-14650HX/32GB/1TB SSD/RTX 5060/16""",Asus,PC,PC,12990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-asus-tuf-gaming-fx608jmr-rv003-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-5060-16,10878965.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"PortÃ¡til Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",Lenovo,PC,PC,12990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-lenovo-legion-5-15ahp10-oled-151-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-negro,10962048.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"PortÃ¡til Lenovo Legion Pro 5i 16"" Intel Core Ultra 9 275HX 32GB 1TB SSD RTX 5070 Ti OLED 240Hz Negro RGB",Lenovo,PC,PC,22490.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-lenovo-legion-pro-5i-16-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx-5070-ti-oled-240hz-negro-rgb,10940511.0,False,False,12990.0,22490.0,alta,612.0,False
pccomponentes,"PortÃ¡til MSI Cyborg 15 B2RWGKG-422XES 15.6"" Intel Core 7 240H 32GB 1TB SSD RTX 5070 8GB RGB",MSI,PC,PC,12990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-msi-cyborg-15-b2rwgkg-422xes-156-intel-core-7-240h-32gb-1tb-ssd-rtx-5070-8gb-rgb,10969532.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"PortÃ¡til HP HyperX OMEN 15-gb0005ns 15.3"" AMD Ryzen 7 260 24GB 1TB SSD RTX 5060 FreeDOS",HP,PC,PC,9990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-hp-hyperx-omen-15-gb0005ns-153-amd-ryzen-7-260-24gb-1tb-ssd-rtx-5060-freedos,11018594.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"HP Victus 15-fa2005ns 15.6"" Intel Core 7 240H 16GB 1TB SSD RTX 5060 Windows 11 Home",HP,PC,PC,10490.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-hp-victus-15-fa2005ns-156-intel-core-7-240h-16gb-1tb-ssd-rtx-5060-windows-11-home,11034479.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"PortÃ¡til Lenovo Legion 5 15IRX10 15.1"" OLED Intel Core i7-14700HX 32GB 1TB SSD RTX 5060",Lenovo,PC,PC,14990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-lenovo-legion-5-15irx10-151-oled-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-5060,10940510.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,"Acer Gaming Nitro V 16 AI ANV16-42 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Sin sistema operativo",Acer,PC,PC,10790.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-acer-gaming-nitro-v-16-ai-anv16-42-16-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-sin-sistema-operativo,11011240.0,False,False,12990.0,22490.0,baja,612.0,False
pccomponentes,"MSI Vector 16 HX AI A2XWHG-097XES Intel Core Ultra 7 255HX 32GB 1TB SSD RTX 5070 Ti 16""",MSI,PC,PC,19990.0,,,,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/portatil-msi-vector-16-hx-ai-a2xwhg-097xes-intel-core-ultra-7-255hx-32gb-1tb-ssd-rtx-5070-ti-16,10869748.0,False,False,12990.0,22490.0,media,612.0,False
pccomponentes,PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB Blanco / Windows 11 Home,PcCom,PC,PC,14890.0,,,,612.0,612.0,Vendido y enviado por,Trending,https://pccomponentes.com/pccom-ready-v2-amd-ryzen-7-5800x-32gb-1tb-ssd-rtx-5060-ti-16gb-blanco-windows-11-home,10881828.0,False,False,12990.0,22490.0,media,612.0,True
pccomponentes,"PcCom Elysium Pro 27"" Fast IPS QHD 200Hz 1ms Adaptive Sync",PcCom,Monitores,Monitores,124990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/pccom-elysium-pro-27-fast-ips-qhd-200hz-1ms-adaptive-sync,10917630.0,False,False,11490.0,106990.00000000003,alta,943.0,True
pccomponentes,"Monitor gaming PcCom Elysium 27"" Fast IPS FHD 200Hz Adaptive Sync",PcCom,Monitores,Monitores,104990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-gaming-pccom-elysium-27-fast-ips-fhd-200hz-adaptive-sync,10893932.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"Alurin CoreVision 100IPSLite 23.8"" FHD 100Hz Freesync",Alurin,Monitores,Monitores,69990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/alurin-corevision-100ipslite-238-fhd-100hz-freesync,10756386.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"MSI MAG 274QF X24 27"" LED Rapid IPS QHD 240Hz 0.5ms Adaptive Sync",MSI,Monitores,Monitores,1690.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-msi-mag-274qf-x24-27-led-rapid-ips-qhd-240hz-05ms-adaptive-sync,10877122.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"Monitor MSI MAG 272F X24 27"" FHD 240Hz Rapid IPS HDR Adaptive-Sync AI Vision Antirreflejo",MSI,Monitores,Monitores,1190.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-msi-mag-272f-x24-27-fhd-240hz-rapid-ips-hdr-adaptive-sync-ai-vision-antirreflejo,10950829.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"AOC Q27G42XE 27"" LED Fast IPS QHD 180Hz Altavoces Adaptive Sync",AOC,Monitores,Monitores,13990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-aoc-q27g42xe-27-led-fast-ips-qhd-180hz-altavoces-adaptive-sync,10867508.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"PcCom Elysium Pro Monitor gaming 34"" Fast VA WQHD 180Hz Adaptive Sync Altura Regulable Curvo",PcCom,Monitores,Monitores,219990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/pccom-elysium-pro-monitor-gaming-34-fast-va-wqhd-180hz-adaptive-sync-altura-regulable-curvo,10917629.0,False,False,11490.0,106990.00000000003,alta,943.0,True
pccomponentes,"AOC Q27G4XF 27"" LED Fast IPS QHD 180Hz Regulable en Altura",AOC,Monitores,Monitores,139990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-aoc-q27g4xf-27-led-fast-ips-qhd-180hz-regulable-en-altura,10847588.0,False,False,11490.0,106990.00000000003,alta,943.0,True
pccomponentes,"Monitor AOC Q27G42ZE 27"" Fast IPS QHD 240Hz 1ms HDR10 Adaptive Sync",AOC,Monitores,Monitores,16990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-aoc-q27g42ze-27-fast-ips-qhd-240hz-1ms-hdr10-adaptive-sync,10899355.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"Monitor LG 24G411A-B.AEU 24"" FullHD 144Hz IPS 1ms G-SYNC FreeSync Gaming",LG,Monitores,Monitores,790.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-lg-24g411a-baeu-24-fullhd-144hz-ips-1ms-g-sync-freesync-gaming,10948829.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"AOC 24B36X 24"" LED IPS FullHD 144Hz HDR10 Adaptive Sync",AOC,Monitores,Monitores,69990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-aoc-24b36x-24-led-ips-fullhd-144hz-hdr10-adaptive-sync,10932295.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"Monitor LG Ultragear 27G411A-B 27"" FullHD 144Hz IPS G-SYNC FreeSync HDR10 5ms VESA HDMI DisplayPort",LG,Monitores,Monitores,990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-lg-ultragear-27g411a-b-27-fullhd-144hz-ips-g-sync-freesync-hdr10-5ms-vesa-hdmi-displayport,10948830.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"Monitor Asus ROG Strix XG27AQDMGR 26.5"" Quad HD 240Hz OLED 0.03ms G-SYNC FreeSync HDR10",Asus,Monitores,Monitores,4590.0,,90.0,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-asus-rog-strix-xg27aqdmgr-265-quad-hd-240hz-oled-003ms-g-sync-freesync-hdr10,10977662.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"Monitor Alurin CoreVision 100IPSLite 27"" FHD 100Hz Regulable en altura",Alurin,Monitores,Monitores,104990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-alurin-corevision-100ipslite-27-fhd-100hz-regulable-en-altura,10964175.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"PcCom Elysium Monitor gaming 23.6"" VA FHD 180Hz Adaptive Sync Curva",PcCom,Monitores,Monitores,84990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/pccom-elysium-monitor-gaming-236-va-fhd-180hz-adaptive-sync-curva,10865388.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"AOC 25G3ZM 24.5"" LED FullHD 240Hz FreeSync Premium",AOC,Monitores,Monitores,89990.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/aoc-25g3zm-245-led-fullhd-240hz-freesync-premium,10633702.0,False,False,11490.0,106990.00000000003,media,943.0,True
pccomponentes,"MSI MAG 244C 23.6"" VA FullHD 180Hz FreeSync Curvo",MSI,Monitores,Monitores,840.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-msi-mag-244c-236-va-fullhd-180hz-freesync-curvo,10893384.0,False,False,11490.0,106990.00000000003,baja,943.0,True
pccomponentes,"Monitor Acer Nitro KG241YX3BIP 23.8"" FHD 200Hz VA FreeSync Premium HDR10",Acer,Monitores,Monitores,780.0,,,,943.0,943.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/monitor-acer-nitro-kg241yx3bip-238-fhd-200hz-va-freesync-premium-hdr10,10945100.0,False,False,11490.0,106990.00000000003,baja,943.0,True
