source,product_name,brand,category,subcategory,price,price_original,discount_pct,rating,review_count,popularity,seller,promo_tag,product_url,sku,url_mal_formateada,duplicado_url,p65,p90,price_tier,rank_popularity,top10_threshold,top_10_popularity,q90_review_count
pccomponentes,Nilait Aera Auriculares InalÃ¡mbricos con CancelaciÃ³n de Ruido Negros,Nilait,Cascos,Cascos,3999.0,,33.0,4.5,39.0,39.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/nilait-aera-auriculares-inalambricos-40mm-bt-54-cancelacion-de-ruido-anc-4-mic-negros,10874483.0,False,False,5849.000000000002,10904.5,baja,30,4,False,2803.400000000001
pccomponentes,Tempest FlexWave Auriculares Gaming InalÃ¡mbricos PC/PS4/PS5/Xbox/Xbox X/Switch Gris,Tempest,Cascos,Cascos,1999.0,,50.0,3.8,35.0,35.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-flexwave-auriculares-gaming-inalambricos-pc-ps4-ps5-xbox-xbox-x-switch-gris,10861400.0,False,False,5849.000000000002,10904.5,baja,31,4,False,2803.400000000001
pccomponentes,Tempest FlexWave Auriculares Gaming InalÃ¡mbricos PC/PS4/PS5/Xbox/Xbox X/Switch Negro,Tempest,Cascos,Cascos,2499.0,,37.0,3.8,35.0,35.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-flexwave-auriculares-gaming-inalambricos-pc-ps4-ps5-xbox-xbox-x-switch-negro,10861399.0,False,False,5849.000000000002,10904.5,baja,32,4,False,2803.400000000001
pccomponentes,Cool Nitro Auriculares Stereo PC/PS4/PS5/Xbox Gaming IluminaciÃ³n + Adaptador Audio,Cool,Cascos,Cascos,2099.0,,0.0,3.8,35.0,35.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-nitro-auriculares-stereo-pc-ps4-ps5-xbox-gaming-iluminacion-adaptador-audio,10773981.0,False,False,5849.000000000002,10904.5,baja,33,4,False,2803.400000000001
pccomponentes,Cool Dublin Auriculares EstÃ©reo con MicrÃ³fono Negro/Azul,Cool,Cascos,Cascos,1495.0,,0.0,3.8,35.0,35.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-dublin-auriculares-estereo-con-microfono-negro-azul,836305.0,False,False,5849.000000000002,10904.5,baja,34,4,False,2803.400000000001
pccomponentes,Cool Bremen Auriculares Gaming PC / PS4 / PS5 / Xbox,Cool,Cascos,Cascos,1999.0,,0.0,4.5,8.0,8.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-bremen-auriculares-gaming-pc-ps4-ps5-xbox,477979.0,False,False,5849.000000000002,10904.5,baja,36,4,False,2803.400000000001
pccomponentes,Cool Newton Auriculares EstÃ©reo Wireless/Bluetooth/Jack Negros para PC/PS4/PS5,Cool,Cascos,Cascos,3999.0,,0.0,4.9,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-newton-auriculares-estereo-wireless-bluetooth-jack-negros-para-pc-ps4-ps5,10863395.0,False,False,5849.000000000002,10904.5,baja,37,4,False,2803.400000000001
pccomponentes,Cool Houston Auriculares Gaming Multiplataforma Negros,Cool,Cascos,Cascos,2099.0,,0.0,3.8,4.0,4.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-houston-auriculares-gaming-multiplataforma-negros,396045.0,False,False,5849.000000000002,10904.5,baja,38,4,False,2803.400000000001
pccomponentes,COOL Exodus Auriculares Stereo Gaming Led RGB PC / PS4 / PS5 / Xbox + Adaptador de Audio,Cool,Cascos,Cascos,2294.0,,0.0,4.3,2.0,2.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-exodus-auriculares-stereo-gaming-led-rgb-pc-ps4-ps5-xbox-adaptador-de-audio,10835052.0,False,False,5849.000000000002,10904.5,baja,39,4,False,2803.400000000001
pccomponentes,Auriculares Apple AirPods Max 2 inalÃ¡mbricos Bluetooth ANC USB-C Negro Medianoche,Apple,Cascos,Cascos,579.0,,0.0,5.0,1.0,1.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/apple-airpods-max-2-negro-medianoche,11031536.0,False,False,5849.000000000002,10904.5,baja,40,4,False,2803.400000000001
